id,stock_code,product_category,unit_price,quantity,customer_id,id,first_name,last_name,email,gender
28,3ESX6VEB,Garden,30,56,217,217,Alta,Bernardin,abernardin60@theglobeandmail.com,F
34,2PYWC73E,Garden,33.18,47,50,50,Sonia,Berger,sberger1d@arstechnica.com,F
37,OQBL2N29,Garden,135.51,20,37,37,Clayson,Manuely,cmanuely10@google.pl,M
137,L23C1B68,Garden,65.01,97,37,37,Clayson,Manuely,cmanuely10@google.pl,M
148,ZBMNY2LJ,Garden,142.26,97,135,135,Issi,Crimmins,icrimmins3q@photobucket.com,F
157,7TLBNJM8,Garden,14.75,14,151,151,Monah,Quick,mquick46@t.co,F
175,Z47CNQID,Garden,26.56,62,125,125,Carree,MacAiline,cmacailine3g@telegraph.co.uk,F
180,W8EI2155,Garden,6.58,67,106,106,Gabbi,Gribben,ggribben2x@php.net,F
193,81LGJP9U,Garden,68.63,49,80,80,Corine,Windaybank,cwindaybank27@soup.io,F
225,FY1Y55RB,Garden,71.24,82,124,124,Jedidiah,Duinkerk,jduinkerk3f@bing.com,M
232,CWEN3C4S,Garden,30.13,50,148,148,Aubrie,Rubinovitch,arubinovitch43@utexas.edu,F
247,4N126NCW,Garden,43.22,68,155,155,Gabe,Lissenden,glissenden4a@miibeian.gov.cn,M
250,W791FS9G,Garden,28.84,22,172,172,Charmian,Duding,cduding4r@hugedomains.com,F
265,P5WT38Y3,Garden,75.21,21,50,50,Sonia,Berger,sberger1d@arstechnica.com,F
291,7053N7Z4,Garden,10.31,40,42,42,Karen,Jura,kjura15@wunderground.com,F
295,KKX95MG7,Garden,47.53,77,215,215,Jedediah,Camelli,jcamelli5y@foxnews.com,M
325,TCX9ENOL,Garden,118.16,64,103,103,Abey,Fortescue,afortescue2u@samsung.com,M
326,JTQMN4WG,Garden,117.84,86,196,196,Alec,Hanretty,ahanretty5f@webeden.co.uk,M
333,DCT8S2ET,Garden,34.27,93,38,38,Johny,Oldacre,joldacre11@hatena.ne.jp,M
346,W2721N41,Garden,132.17,85,100,100,Kristen,Axtonne,kaxtonne2r@engadget.com,F
390,THQC2ZH5,Garden,123.86,2,36,36,Morris,Straneo,mstraneoz@rambler.ru,M
392,J3VB3ISV,Garden,43.2,71,91,91,Corina,Etoile,cetoile2i@google.pl,F
426,XAH73PAN,Garden,131.38,92,165,165,Erick,Peggrem,epeggrem4k@dropbox.com,M
427,XFKZJ1JY,Garden,105.59,26,113,113,Agustin,Guterson,aguterson34@princeton.edu,M
504,FQDHCXV7,Garden,31.87,57,170,170,Gustave,Scown,gscown4p@dot.gov,M
511,UYQXZWJZ,Garden,97.95,24,196,196,Alec,Hanretty,ahanretty5f@webeden.co.uk,M
521,1QQ66TSN,Garden,110.6,81,56,56,Tristan,Messer,tmesser1j@infoseek.co.jp,M
525,I49I2YBE,Garden,20.77,98,119,119,Glenden,Vipan,gvipan3a@topsy.com,M
546,7508E6A4,Garden,117.95,81,81,81,Adolphus,Bunford,abunford28@stanford.edu,M
557,ZTTSLNWV,Garden,125.2,36,72,72,Shellysheldon,Fahrenbacher,sfahrenbacher1z@huffingtonpost.com,M
581,2XOZ6FUY,Garden,7.21,64,168,168,Hort,Arnold,harnold4n@google.co.uk,M
585,SQLWGF8O,Garden,43.95,38,39,39,Morgun,Cotesford,mcotesford12@yahoo.com,M
608,ZY0VAPJ2,Garden,134.86,89,95,95,Nehemiah,Myott,nmyott2m@wikimedia.org,M
638,M1S90RPZ,Garden,94.09,17,199,199,Roz,MacCook,rmaccook5i@seesaa.net,F
661,8ZUTT7VL,Garden,84.43,61,77,77,Drusy,Dalbey,ddalbey24@ebay.co.uk,F
686,HZGGNGOV,Garden,92.55,25,142,142,Tiebout,Beine,tbeine3x@cbsnews.com,M
706,YGOWKKJP,Garden,25.21,66,137,137,Hermon,Skitral,hskitral3s@mail.ru,M
746,FW258PF3,Garden,144.27,71,186,186,Corty,Standingford,cstandingford55@yellowbook.com,M
748,CNUK4AO4,Garden,106.55,72,22,22,Leeanne,Turbefield,lturbefieldl@i2i.jp,F
785,WMY24EWY,Garden,88.93,74,3,3,Kiele,McQuaker,kmcquaker2@ca.gov,F
807,CM2YJGI0,Garden,95.6,11,49,49,Salomone,Hitcham,shitcham1c@wix.com,M
817,9GRD6SCX,Garden,46.82,1,166,166,Heddi,Condliffe,hcondliffe4l@house.gov,F
822,FYDALTBZ,Garden,65.24,81,114,114,Bard,Maciejewski,bmaciejewski35@blogs.com,M
837,LT5FPKWS,Garden,146.44,86,29,29,Jobey,De'Vere - Hunt,jdeverehunts@sfgate.com,F
857,D1WUTW7L,Garden,33.99,9,33,33,Keenan,Scorthorne,kscorthornew@multiply.com,M
879,2A3IG2PX,Garden,80.4,58,232,232,Sebastian,Eggleston,seggleston6f@list-manage.com,M
881,VMD1SLTP,Garden,44.45,92,125,125,Carree,MacAiline,cmacailine3g@telegraph.co.uk,F
954,MY0ODYII,Garden,118.32,6,29,29,Jobey,De'Vere - Hunt,jdeverehunts@sfgate.com,F
